Config,FM ID,First Name,Second Name,Name,Permanent Club ID,Permanent Club Name,Based Club ID,Based Club Name,Loan Club ID,Loan Club Name,Date Of Birth,Nationality ID,Nationality Name,Second Nationality ID,Second Nationality Name,Third Nationality ID,Third Nationality Name,City Of Birth ID,City Of Birth Name,GK,DL,DC,DR,WBL,WBR,DM,MC,ML,MR,AML,AMC,AMR,SC,Current Ability,Potential Ability,Left Foot,Right Foot,NFE,Squad Number
"[{""a"":""Person"",""m"":""Person"",""k"":398455,""r"":398455},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5470704,""r"":398455},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":237097,""r"":398455},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":237097,""r"":398455}]",12056424,Mohamed Hedi,Gaaloul,Mohamed Hedi Gaaloul,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,1989-04-30,1248894,Tunisia,,,,,39979,Sfax,20,,,,,,,,,,,,,,95,105,2,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":404303,""r"":404303},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":243748,""r"":404303},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":243748,""r"":404303},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":243748,""r"":404303}]",13131682,Constant,Kouamé,Constant Kouamé,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,1995-09-28,1248776,Ivory Coast,,,,,48651,Bondoukou,,7,20,14,,8,15,11,,,,,,,108,115,6,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":408339,""r"":408339},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5485951,""r"":408339},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":247728,""r"":408339},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":247728,""r"":408339}]",13183666,Haythem,Ayouni,Haythem Ayouni,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,1991-05-16,1248894,Tunisia,,,,,39845,Tunis,,19,20,,12,,,,,,,,,,100,100,20,5,,
"[{""a"":""Person"",""m"":""Person"",""k"":726359,""r"":726359},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5432977,""r"":726359},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":604186,""r"":726359},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":604186,""r"":726359}]",48034666,Hazem,Haj Hassen,Hazem Haj Hassen,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,1996-02-15,1248894,Tunisia,1248672,Algeria,,,39978,Sousse,,,,,,,,,,,12,10,15,20,95,110,8,20,,11
"[{""a"":""Person"",""m"":""Person"",""k"":729792,""r"":729792},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5467280,""r"":729792},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":607795,""r"":729792},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":607795,""r"":729792}]",49053453,Gaoussou,Traoré,Gaoussou Traoré,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,1999-12-04,1248747,France,1248800,Mali,,,38885,Amiens,,,,,,,17,20,10,14,10,11,14,,100,120,8,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":984979,""r"":984979},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5432995,""r"":984979},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":252505,""r"":984979},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":252505,""r"":984979}]",13229852,Aymen,Dahmen,Aymen Dahmen,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,1997-01-28,1248894,Tunisia,,,,,39979,Sfax,20,,,,,,,,,,,,,,117,130,2,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":985562,""r"":985562},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5468733,""r"":985562},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":253088,""r"":985562},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":253088,""r"":985562}]",13233795,Firas,Sekkouhi,Firas Sekkouhi,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,1998-09-27,1248894,Tunisia,,,,,,,,,,10,,10,15,20,15,12,15,15,11,,98,105,7,20,,
"[{""a"":""Person"",""m"":""Person"",""k"":1116216,""r"":1116216},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":5260721,""r"":1116216},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":909606,""r"":1116216},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":909616,""r"":1116216}]",2000039743,Sabri,Ben Hessen,Sabri Ben Hessen,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,1996-06-13,1248894,Tunisia,,,,,,,20,,,,,,,,,,,,,,105,120,5,20,,16
"[{""a"":""Person"",""m"":""Person"",""k"":1116236,""r"":1116236},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":909630,""r"":1116236},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":909626,""r"":1116236},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":909636,""r"":1116236}]",2000039763,Achref,Habbassi,Achref Habbassi,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,2001-12-08,1248894,Tunisia,,,,,54925,Siliana,,9,,,12,,,7,15,17,17,9,20,10,102,120,20,7,,29
"[{""a"":""Person"",""m"":""Person"",""k"":1149577,""r"":1149577},{""a"":""PersonClubContract"",""m"":""PersonClubContract"",""k"":938191,""r"":1149577},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":938189,""r"":1149577},{""a"":""PlayerPosition"",""m"":""PlayerPosition"",""k"":938197,""r"":1149577}]",2000072686,Wadhah,Zaidi,Wadhah Zaidi,90898,Club Sportif Sfaxien,90898,Club Sportif Sfaxien,,,1999-10-22,1248894,Tunisia,,,,,973266,Hajeb El Ayoun,,12,,,12,,,11,20,12,18,10,15,8,100,110,20,4,,10
